Country	Subject Descriptor	Units	Scale	Country/Series-specific Notes	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	Estimates Start After
Barbados	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	16,572.31	16,589.45	16,947.63	17,423.25	17,758.08	18,139.48	16,082.47	17,471.58	18,532.27	19,325.91	20,153.53	21,016.59	2019
Belarus	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	8,316.01	5,941.24	5,022.47	5,757.29	6,322.32	6,658.06	6,133.88	6,513.12	6,845.43	7,133.76	7,375.69	7,681.40	2019
Belgium	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	47,897.04	41,147.26	42,090.68	44,364.30	47,631.45	46,236.67	43,813.77	50,050.96	52,306.48	54,216.34	55,822.93	57,306.95	2019
Belize	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	4,633.07	4,680.26	4,696.43	4,734.97	4,700.93	4,497.99	3,733.98	3,967.92	4,161.55	4,253.70	4,344.22	4,439.12	2019
Benin	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,291.76	1,076.91	1,086.97	1,136.14	1,240.78	1,218.21	1,258.92	1,400.46	1,496.66	1,595.36	1,694.90	1,798.53	2017
Bhutan	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	2,546.86	2,784.45	2,876.21	3,157.11	3,413.85	3,356.78	3,431.37	3,446.53	3,680.06	3,951.92	4,288.18	4,557.83	2015
Bolivia	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	3,096.84	3,050.65	3,094.99	3,368.76	3,565.50	3,566.42	3,321.92	3,618.18	3,870.29	4,123.90	4,361.50	4,612.79	2017
Bosnia and Herzegovina	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	5,319.32	4,727.26	4,994.07	5,392.37	6,073.93	6,015.16	5,761.71	6,536.32	6,963.61	7,354.98	7,782.40	8,254.54	2018
Botswana	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	7,497.69	6,538.62	6,958.35	7,585.49	7,996.96	7,772.67	6,557.51	7,035.84	7,747.80	8,264.42	8,658.30	9,095.42	2017
Brazil	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	12,175.68	8,846.48	8,757.30	9,974.81	9,043.24	8,751.38	6,450.45	6,728.17	7,299.09	7,736.76	8,252.81	8,690.04	2019
Brunei Darussalam	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	41,947.16	31,355.74	27,318.05	28,236.77	30,668.37	29,314.11	23,116.71	26,273.52	27,914.26	28,983.01	29,857.06	30,678.49	2019
Bulgaria	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	7,898.09	7,077.44	7,572.69	8,378.95	9,466.39	9,772.15	9,826.14	11,348.85	12,276.07	13,134.60	13,988.91	14,856.26	2019
Burkina Faso	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	793.051	653.393	687.48	738.014	820.533	774.695	768.827	850.79	900.035	949.118	997.368	1,047.52	2018
Burundi	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	286.373	318.992	294.687	306.103	284.53	269.826	263.674	267.019	269.938	273.184	276.893	281.613	2015
Cabo Verde	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	3,532.98	2,996.38	3,082.21	3,239.04	3,616.40	3,601.68	3,358.33	3,675.17	3,885.24	4,132.54	4,396.57	4,690.87	2018
Cambodia	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,093.80	1,165.06	1,270.98	1,385.93	1,504.26	1,620.47	1,571.92	1,680.02	1,803.11	1,937.86	2,083.75	2,233.43	2018
